ID,TYPE,SYMBOL,COMPANY,INDUSTRY,EXCHANGE,ENTRYPRICE,TARGETPRICE,STRIKEPRICE,STOPLOSS,POTENTIALRETURN,STARTDATE,HOLDPERIOD,RISK,STATUS,PICKPOSITION,CLOSEDATE,CLOSEREASON,PERCENTGAIN,CLOSEDEMAILSENT,LASTTRADE,UNDERLYING_STOCK_SYMBOL,PORTFOLIOGAIN,COMMENTS,,QPICK,STARTDATETEMP
73905,Buy Calls,AAPL,AAPL Apr 30 2021 130 Call (Weekly),,,2.06,2.93,130,0.75,,2021-04-05,,,ACTIVE,Closed,2021-04-07,TARGET REACHED,42,YES,,AAPL,420,AAPL calls are hot early on and AAPL can go another 10% from here in April.,,NO,NULL
73900,Buy Calls,AAPL,AAPL Apr 30 2021 135 Call (Weekly),,,2.1,3.15,135,0.8,,2021-04-08,,,ACTIVE,Closed,2021-04-09,TARGET REACHED,25,YES,,AAPL,250,AAPL has triggered once again and a play towards $138 - $142 is in play over the next few weeks.,,NO,NULL
74097,Buy Calls,AAPL,AAPL Aug 14 2020 465 Call (Weekly),,,3.9,6.9,465,1.5,,2020-08-06,,,ACTIVE,Closed,2020-08-06,STOPPED OUT,-57,YES,,AAPL,-570,"AAPL has triggered and we have a move into the 460""s range over the next week. Investors continue to pour into AAPL.",,NO,NULL
73821,Buy Calls,AAPL,AAPL Aug 6 2021 150 Call (Weekly),,,2.67,3.8,150,1,,2021-07-12,,,ACTIVE,Closed,2021-07-14,TARGET REACHED,43,YES,,AAPL,430,Another entry opportunity is we roll up on AAPL,,NO,NULL
74003,Buy Calls,AAPL,AAPL Dec 18 2020 126 Call,,,1.97,3.95,126,0.42,,2020-12-01,,,ACTIVE,Closed,2020-12-01,STOPPED OUT,-73,YES,,AAPL,-730,AAPL has triggered here for an explosive move towards $130 short term.,,NO,NULL
73957,Buy Calls,AAPL,AAPL Feb 5 2021 150 Call (Weekly),,,3.35,5.85,150,1.35,,2021-01-26,,,ACTIVE,Closed,2021-01-27,TARGET REACHED,15,YES,,AAPL,150,"On this pullback, we add appl here.  Great entry / expected momentum this week ",,NO,NULL
73983,Buy Calls,AAPL,AAPL Jan 15 2021 140 Call,,,2.5,4.25,140,0.95,,2020-12-28,,,ACTIVE,Closed,2020-12-28,STOPPED OUT,-55,YES,,AAPL,-550,Should be a monster week for big tech to end the year.,,NO,NULL
73841,Buy Calls,AAPL,AAPL Jul 16 2021 135 Call,,,1.45,2.25,135,0.5,,2021-06-15,,,ACTIVE,Closed,2021-06-23,TARGET REACHED,55,YES,,AAPL,550,"AAPL has triggered, strong upside call volume through July, as well as strong price activity.",,NO,NULL
73826,Buy Calls,AAPL,AAPL Jul 30 2021 145 Call (Weekly),,,2.35,3.75,145,0.75,,2021-07-06,,,ACTIVE,Closed,2021-07-07,TARGET REACHED,60,YES,,AAPL,600,Monster move towards $150 in play short term,,NO,NULL
73823,Buy Calls,AAPL,AAPL Jul 30 2021 147 Call (Weekly),,,2.19,3.51,147,0.75,,2021-07-08,,,ACTIVE,Closed,2021-07-09,TARGET REACHED,60,YES,,AAPL,600,AAPL is a gift here,,NO,NULL
